,Gender,First Name,Last Name,City,State,Country,Age,Annual Vacation Days,Average Monthly Spend on Entertainment,Number of Online Purchases in Last Month,Number of Charity Donations in Last Year,Average Weekly Exercise Hours,Investment Portfolio Value,Health Consciousness Rating,Education Level,Average Daily Screen Time,Environmental Awareness Rating,Social Media Influence Score,Risk Tolerance in Investments,Number of Professional Trainings Attended,Tech-Savviness Score,Financial Wellness Index,Lifestyle Balance Score,Entertainment Engagement Factor,Social Responsibility Index,Work-Life Balance Indicator,Investment Risk Appetite,Eco-Consciousness Metric,Stress Management Score,Time Management Skill,Lifestyle Choice
119569,female,Mila,Rolland,Nancy,Maine-et-Loire,France,22,36.5542,8.6674,159.4682,2.1603,0.0162,317.7938,0.6488,4.4706,1.8818,1.6737,3.6508,4.8572,3.485,14.1166,104.3674,40.529,1.869,0.0,0.2237,5.8255,0.0068,3.351,26.6359,Eco-Friendly
292446,female,النا,قاسمی,اسلام‌شهر,آذربایجان شرقی,Iran,43,25.0276,39.8043,116.589,1.0497,0.0843,17.8434,0.5623,8.5076,2.1121,2.2026,9.0305,2.2027,0.6811,22.2031,99.3186,25.5961,2.3006,0.0,0.1758,3.7185,0.0119,5.4796,1.1655,Eco-Friendly
216522,female,Femma,Mors,Maartensdijk,Gelderland,Netherlands,24,12.0269,32.2994,86.8923,0.023,1.6135,10.9547,0.6299,3.2068,1.5783,5.0469,5.1638,19.943,2.5367,11.2334,97.3727,6.9777,2.1131,0.1436,0.0131,7.1086,0.0291,3.5154,12.3323,Eco-Friendly
447803,female,Nina,Nenezić,Doljevac,Pomoravlje,Serbia,50,7.9871,19.1325,182.1225,0.7634,0.0071,316.7106,0.6183,5.3447,3.5795,1.5178,4.179,5.2528,3.6344,15.3383,102.1508,10.5831,1.9502,0.0,0.2035,6.6052,0.0,2.9321,36.8159,Eco-Friendly
278880,female,Eleanor,Romero,Portsmouth,Cleveland,United Kingdom,49,0.0,19.5001,116.3815,0.0,0.6154,15.2328,0.3996,11.0563,2.4626,1.506,15.0747,1.567,3.2346,13.0915,102.223,0.0,1.6958,0.1339,0.0,4.0605,0.0379,2.1068,23.2747,Eco-Friendly
409236,female,Marchje,Aben,Wijk en Aalburg,Flevoland,Netherlands,38,41.4786,8.538,123.0293,1.3317,0.0368,311.7996,0.7452,4.7643,4.5039,1.8575,3.7055,4.4556,4.0081,13.102,102.0573,48.505,1.8696,0.0,0.044,3.1099,0.0072,3.4567,65.7721,Eco-Friendly
24688,male,Madail,Ramos,Passo Fundo,Ceará,Brazil,20,29.9539,48.9121,103.1156,0.4419,0.3111,267.5378,0.7774,9.6919,4.1184,2.1075,4.9463,7.1145,4.671,11.8609,97.8473,35.4462,2.3135,0.0,0.044,6.6527,0.9314,5.1312,74.0966,Eco-Friendly
7707,female,Stacy,Nguyen,Orange,South Australia,Australia,27,27.9992,47.7625,148.772,0.2785,0.1233,314.1261,0.7355,9.7224,5.7904,2.958,5.9938,16.2606,1.9377,14.2483,102.3285,36.1163,2.4106,0.0,0.0114,7.9377,0.0243,5.8261,9.1847,Eco-Friendly
131338,male,Patrick,Cooper,Hamilton,Southland,New Zealand,20,29.2177,8.2619,103.5159,3.0076,0.0,310.0649,0.7033,4.3135,3.9066,2.6821,3.6884,4.1262,1.0345,12.0987,100.8272,34.143,1.9084,0.0,0.0124,2.8363,0.0066,3.712,0.7106,Eco-Friendly
268138,female,Sofia,Kauppila,Siilinjärvi,Satakunta,Finland,40,33.2689,14.5909,141.0596,0.1217,0.0,157.1856,0.614,2.1082,7.7891,0.3502,4.1485,10.472,4.1091,14.1483,229.1226,35.8796,1.7658,0.0,0.1118,7.2238,1.3854,2.9516,60.3083,Eco-Friendly
93552,female,Carolyn,Mcguinness,Malahide,Limerick,Ireland,33,25.4937,9.2098,177.3176,0.6616,0.0438,298.9783,0.6221,11.045,4.116,2.851,2.9117,16.6129,2.7175,15.4619,95.6104,29.6981,1.677,0.0763,0.1612,8.1109,0.0,2.6727,18.0379,Eco-Friendly
79071,female,Mary,Kelly,Athy,Kilkenny,Ireland,41,37.3539,11.8097,84.7027,2.7189,0.1387,309.0533,0.8455,2.8916,2.0005,1.469,3.3671,15.6545,4.195,10.5666,99.9848,41.3483,1.8647,0.0,0.0838,6.9047,0.0,3.5783,65.0783,Eco-Friendly
126003,female,Lea,Scott,Westport,Newfoundland and Labrador,Canada,42,5.6672,42.0425,175.4954,0.1832,0.092,315.179,0.6949,7.9336,6.959,2.6323,5.0673,8.8009,2.3684,15.5609,101.8395,6.9274,2.1681,0.0429,0.0,8.1455,0.0301,3.3879,15.4497,Eco-Friendly
232605,female,Victoria,Muller,Grangettes,Valais,Switzerland,45,30.2971,8.8805,127.9475,0.0,0.0071,324.4207,0.8232,7.4662,5.7392,2.8992,1.6295,4.5124,3.5324,13.307,98.4102,37.0789,1.4173,0.0,0.0932,2.1931,0.0066,1.9872,41.91,Eco-Friendly
65355,female,Mónica,Pedroza,Cerritos de Villa de Pozos,Oaxaca,Mexico,41,7.6293,43.9754,125.7825,1.1663,0.169,369.8646,0.629,9.7955,2.5843,0.8228,3.4547,4.4582,5.1328,12.4546,114.5149,8.6409,1.9157,0.0,0.8528,2.3655,0.0,2.69,89.9296,Eco-Friendly
301226,male,Jordan,Kelley,Winchester,Shropshire,United Kingdom,35,18.8843,12.3364,144.8369,0.1802,0.0,316.8593,0.7058,6.9242,5.1255,8.1593,3.5018,5.635,0.4313,14.1062,103.7848,22.6887,1.8811,0.2154,0.0143,6.049,0.0254,3.463,0.0,Eco-Friendly
265968,male,Lloyd,Graham,Farmers Branch,Colorado,United States,45,22.6565,43.9819,120.0823,1.1651,0.0512,313.8551,0.7296,2.5503,7.3655,3.2308,5.6707,4.4563,2.4656,13.2435,99.5253,30.2193,2.3722,0.0,0.2458,0.0096,0.0,5.6097,17.7832,Eco-Friendly
